key,priority,title,labels,depends_on,body
LP-001,P0,Grant backend signer VERIFIER_ROLE,"P0,contracts,ops",,"Problem: /sbt/mint fails when backend signer lacks VERIFIER_ROLE on LifePassSBT.\nScope: Derive backend signer address, grant VERIFIER_ROLE from admin key, verify on-chain role assignment.\nAcceptance Criteria:\n- /sbt/mint succeeds on Amoy with real tx hash\n- Role assignment transaction hash recorded in docs/ops runbook\n- Health check remains green after change"
LP-002,P0,Improve mint endpoint revert transparency,"P0,api,ops",LP-001,"Problem: API currently returns generic 500 for EVM reverts.\nScope: Decode and return actionable revert reason for /sbt/mint and related contract calls.\nAcceptance Criteria:\n- API returns explicit error for role missing, paused contract, duplicate tokenId\n- Frontend surfaces backend error text\n- Tests cover at least 3 failure modes"
LP-003,P0,Add idempotent mint guard per profile,"P0,api,contracts",LP-001,"Problem: duplicate or concurrent mint attempts can create inconsistent profile state.\nScope: Enforce single-mint semantics per user/profile with lock/idempotency key behavior.\nAcceptance Criteria:\n- Second mint attempt returns 409 with clear reason\n- Race condition tests added\n- Profile write model remains consistent after failed retries"
LP-004,P0,Migrate profile and trust storage to PostgreSQL,"P0,api,ops",,"Problem: JSON file persistence is not production-safe.\nScope: Replace file-based profile/trust stores with PostgreSQL models and migration scripts.\nAcceptance Criteria:\n- Profile and trust data persisted in Postgres\n- Existing APIs remain backward compatible\n- Migration and rollback scripts documented"
LP-005,P0,Add production observability baseline,"P0,api,ops",LP-004,"Problem: limited traceability across signup-verify-mint lifecycle.\nScope: Structured logging, request IDs, health/readiness separation, and error correlation.\nAcceptance Criteria:\n- Each request has correlation ID in logs\n- Separate /health and /ready semantics implemented\n- Dashboard/query can trace full user flow"
LP-006,P1,Expand profile schema to full identity fields,"P1,api,web",LP-004,"Problem: identity schema does not yet include all blueprint profile DNA fields.\nScope: Add legal name, covenant name, callings, purpose statement, and richer skills model.\nAcceptance Criteria:\n- Validation schemas updated\n- Signup/dashboard UI updated\n- API docs updated with new fields"
LP-007,P1,Build verification workflow engine,"P1,api,ops",LP-006,"Problem: verification process is basic and not fully workflow-driven.\nScope: Introduce reviewer states, evidence records, decision history, and audit trail.\nAcceptance Criteria:\n- Status transitions enforced by role\n- Decision events are immutable and auditable\n- Only approved users proceed to mint"
LP-008,P1,Implement web-of-trust endorsements,"P1,api,web",LP-006,"Problem: no formal endorsement graph exists.\nScope: Endorsement model, anti-self-endorsement constraints, and reputation weighting.\nAcceptance Criteria:\n- Users can endorse others with signed intent\n- Invalid or duplicate endorsements rejected\n- Trust engine consumes endorsements"
LP-009,P1,Auto-promote to Silver after two endorsements,"P1,api",LP-008,"Problem: viral loop rule is not implemented.\nScope: Implement rule-based trust promotion and event logging.\nAcceptance Criteria:\n- Two valid endorsements auto-set Silver status\n- Promotion event includes reason and timestamp\n- Rule is configurable via env/config"
LP-010,P1,Implement profile privacy controls,"P1,api,web",LP-006,"Problem: users cannot choose public/private visibility per field.\nScope: Add field-level visibility policy and selective disclosure responses.\nAcceptance Criteria:\n- Visibility matrix stored and enforced\n- Public API responses are policy-filtered\n- User can update privacy settings from dashboard"
LP-011,P1,Add on-chain commitments and action attestations,"P1,contracts,api",LP-001,"Problem: commitments and verified actions are not first-class on-chain records.\nScope: Contract + API support for covenant commitments and service completion attestations.\nAcceptance Criteria:\n- Commitment/attestation transactions are queryable\n- API returns tx hashes and statuses\n- Contract tests cover write/read and permission checks"
LP-012,P1,Formalize trust tier policy engine,"P1,api",LP-008,"Problem: Bronze/Silver/Gold logic is not centralized.\nScope: Deterministic tier computation with reason codes.\nAcceptance Criteria:\n- /trust endpoint returns tier + rationale\n- Tier transitions are audited\n- Unit tests cover boundary scores"
LP-013,P1,Enforce portal access policy middleware,"P1,api",LP-012,"Problem: portal routing exists but hard authorization rules are minimal.\nScope: Tier/claim-based authorization middleware for each portal.\nAcceptance Criteria:\n- Unauthorized access returns 403 with requirement detail\n- Portal policy map is configurable\n- Integration tests cover each portal"
LP-014,P1,Implement cross-portal LifePass SSO assertions,"P1,api,web,ops",LP-013,"Problem: one identity login across portals is not complete.\nScope: Signed session/assertion tokens accepted by multiple portal services.\nAcceptance Criteria:\n- User signs in once and accesses at least two portals\n- Assertions include trust tier and key claims\n- Token validation spec documented"
LP-015,P1,Integrate real GPT-backed Purpose Guide,"P1,ai,api",LP-004,"Problem: current chat guide is stubbed logic.\nScope: Add model adapter, prompt templates, and context retrieval flow.\nAcceptance Criteria:\n- AI responses use profile + trust context\n- Configurable model/provider via env\n- Safe fallback behavior when provider unavailable"
LP-016,P1,Upgrade vector retrieval to production vector DB,"P1,ai,api,ops",LP-004,"Problem: local deterministic embeddings store is non-production.\nScope: Replace with pgvector/Pinecone/Weaviate and retrieval APIs.\nAcceptance Criteria:\n- Embeddings persisted in managed vector store\n- Query relevance improves over baseline\n- Migration path documented"
LP-017,P1,Add milestone and commitment tracking for AI guide,"P1,ai,api,web",LP-015,"Problem: guide does not track long-running commitments and milestones.\nScope: Milestone CRUD, reminder logic, and AI recommendation linkage.\nAcceptance Criteria:\n- Users can create and complete milestones\n- AI references active milestones in advice\n- Dashboard shows progress timeline"
LP-018,P1,Implement AI safety and governance controls,"P1,ai,ops",LP-015,"Problem: no formal policy/audit around AI outputs.\nScope: Guardrails, refusal behavior, moderation checks, output audit logs.\nAcceptance Criteria:\n- Safety policy test suite in CI\n- Blocked classes are logged with reason\n- Admin can review AI output logs"
LP-019,P2,Implement signed QR verification pass,"P2,mobile,api",LP-014,"Problem: no offline-capable scan verification flow exists.\nScope: Create QR payload schema and verifier endpoint/app flow.\nAcceptance Criteria:\n- QR includes signed claims and expiry\n- Verifier can validate authenticity and freshness\n- UX supports low-connectivity fallback"
LP-020,P2,Add NFC pass support for offline verification,"P2,mobile,api",LP-019,"Problem: no tap-based verification capability exists.\nScope: NFC credential write/read path and verification middleware.\nAcceptance Criteria:\n- Android MVP can read and validate NFC pass\n- Replayed/expired payloads rejected\n- Documentation covers device support limits"
LP-021,P2,Upgrade React Native app beyond placeholder,"P2,mobile,api,web",LP-006,"Problem: mobile client is currently placeholder only.\nScope: Build signup, dashboard, trust view, and mint status flows in mobile app.\nAcceptance Criteria:\n- Mobile onboarding mirrors core web flow\n- Wallet integration strategy documented\n- Test build runs on Android emulator"
LP-022,P2,Integrate WhatsApp and Telegram chat channels,"P2,ai,api,ops",LP-015,"Problem: blueprint calls for voice/chat channels outside web app.\nScope: Add channel adapters and identity-aware messaging bridge.\nAcceptance Criteria:\n- User can interact with guide via one external channel minimum\n- Session identity mapping is secure\n- Channel failures degrade gracefully"
LP-023,P2,Build pilot cohort onboarding module,"P2,web,api,ops",LP-006,"Problem: pilot audience onboarding is not productized.\nScope: Admin cohort creation, invites, and progress tracking.\nAcceptance Criteria:\n- Leaders can create and manage cohorts\n- Cohort dashboard shows verification funnel\n- Export/report capability included"
LP-024,P2,Implement first-500 leader free setup workflow,"P2,ops,web,api",LP-023,"Problem: launch strategy incentive mechanics are manual.\nScope: Program enrollment, quota tracking, and eligibility checks.\nAcceptance Criteria:\n- First 500 leaders auto-tagged and tracked\n- Enrollment status visible in admin dashboard\n- Abuse prevention checks in place"
LP-025,P2,Add referral and endorsement growth analytics,"P2,ops,api,web",LP-008,"Problem: viral loop metrics are not measurable yet.\nScope: Instrument invite-to-verify-to-silver funnel with analytics dashboards.\nAcceptance Criteria:\n- Conversion metrics available by cohort/portal\n- Attribution model documented\n- Weekly KPI report generation automated"
LP-026,P1,Create end-to-end journey test suite,"P1,api,web,contracts,ops",LP-007;LP-001,"Problem: key journeys are not covered by deterministic E2E tests.\nScope: Automate signup, verify, mint, and portal access scenarios.\nAcceptance Criteria:\n- CI runs E2E suite reliably\n- Flake rate below agreed threshold\n- Failure artifacts are downloadable"
LP-027,P0,Run security hardening and key-management SOP,"P0,ops,api,contracts",LP-001,"Problem: secret hygiene and role-key controls need formalized enforcement.\nScope: Key rotation SOP, least-privilege role map, rate limiting, abuse protections.\nAcceptance Criteria:\n- SOP documented and tested in staging\n- Rate limits enabled on sensitive routes\n- Security checklist added to release process"
LP-028,P1,Refresh architecture and API documentation,"P1,ops,api,contracts,web",LP-011;LP-014,"Problem: docs can drift from implementation during rapid iteration.\nScope: Update architecture, API references, trust policy, and runbooks.\nAcceptance Criteria:\n- Docs match deployed behavior\n- Versioned changelog entries for major components\n- Onboarding guide supports new contributors"
