key,priority,title,labels,depends_on,body
M0-001,P0,[M0] Harden local/testnet environment rails,"P0,ops,api",,"Milestone: M0 Foundation\nProblem: Environments drift and break confidence in early delivery.\nScope: Lock dev/testnet env templates, readiness checks, and startup diagnostics.\nAcceptance Criteria:\n- scripts/testnet-readiness.ps1 passes in simulated mode\n- /health reports no critical failures in local mode\n- docs updated with runbook commands"
M0-002,P0,[M0] Stabilize contract deploy and smoke loop,"P0,contracts,api,ops",M0-001,"Milestone: M0 Foundation\nProblem: Deploy/mint loop can fail due to config and funding gaps.\nScope: Validate deploy preflight and smoke scripts in CI and local.\nAcceptance Criteria:\n- deploy:sbt:dry succeeds with clear output\n- scripts/testnet-smoke.ps1 simulated mode passes\n- funding/deploy errors are actionable"
M1-001,P0,[M1] Expand onboarding profile schema in API,"P0,api",M0-001,"Milestone: M1 Identity Onboarding\nProblem: API profile payload is too narrow for Profile DNA model.\nScope: Add legalName, covenantName, purposeStatement, coreSkills, callings, biometric flags with backward compatibility.\nAcceptance Criteria:\n- /onboarding/signup accepts new fields and legacy aliases\n- profile persistence includes normalized fields\n- docs/onboarding.md updated"
M1-002,P0,[M1] Initialize Bronze trust on signup,"P0,api",M1-001,"Milestone: M1 Identity Onboarding\nProblem: Bronze assignment is not guaranteed at first profile creation.\nScope: Initialize trust score and level during signup using deterministic Bronze bounds.\nAcceptance Criteria:\n- new signup returns trust payload\n- profile stores trustScore and trustLevel\n- trust lookup returns Bronze for fresh users"
M1-003,P0,[M1] Add verifier submission endpoint,"P0,api,web",M1-001,"Milestone: M1 Identity Onboarding\nProblem: no endpoint to submit trusted human verification sources.\nScope: Add /onboarding/verifier-submission with validator rules and profile linkage.\nAcceptance Criteria:\n- endpoint persists submission entries\n- submission count is returned\n- invalid verifierType is rejected with 400"
M1-004,P1,[M1] Upgrade web signup UX for profile DNA,"P1,web,api",M1-001,"Milestone: M1 Identity Onboarding\nProblem: web form does not collect full onboarding schema.\nScope: add fields for legal/covenant name, purpose statement, callings, docs and show trust tier response.\nAcceptance Criteria:\n- signup page submits expanded payload\n- success state surfaces trust tier\n- no regressions for existing userId flow"
M1-005,P1,[M1] Implement mobile onboarding form,"P1,mobile,api",M1-001,"Milestone: M1 Identity Onboarding\nProblem: mobile client is placeholder and cannot onboard users.\nScope: replace placeholder with signup form posting to API endpoint.\nAcceptance Criteria:\n- App.js submits to /onboarding/signup\n- status/errors displayed in-app\n- emulator connectivity note documented"
M1-006,P1,[M1] Add onboarding API regression tests,"P1,api",M1-002;M1-003,"Milestone: M1 Identity Onboarding\nProblem: signup/verifier changes may regress without coverage.\nScope: add HTTP tests for happy path + validation failures.\nAcceptance Criteria:\n- tests for signup normalization and Bronze assignment\n- tests for verifier submission 201/400/404\n- npm test passes"
M2-001,P0,[M2] Build document verification workflow,"P0,api,ops",M1-003,"Milestone: M2 Verification + Mint\nProblem: verification status transitions are too manual and weakly audited.\nScope: formalize review statuses, reviewer metadata, and timestamps.\nAcceptance Criteria:\n- /onboarding/verify writes reviewer audit fields\n- only allowed transitions succeed\n- rejected and approved paths tested"
M2-002,P0,[M2] Wire verification-gated SBT mint flow,"P0,api,contracts",M2-001,"Milestone: M2 Verification + Mint\nProblem: mint eligibility and profile state coupling need stronger guarantees.\nScope: enforce verification gate and idempotent mint linkage in profile record.\nAcceptance Criteria:\n- unapproved users cannot mint\n- approved users mint and persist tx hash/token id\n- duplicate mint attempts return deterministic error"
